symbol,weight
XLU,0.321
TQQQ,0.321
TECL,0.214
GLD,0.143QQQ,BUY,21,11786.25,2025-07-23 08:07:07.870314
SPY,BUY,14,8804.04,2025-07-23 08:07:07.870314
AAPL,BUY,14,3001.6,2025-07-23 08:07:07.870314
MSFT,BUY,6,3031.62,2025-07-23 08:07:07.870314
GOOGL,BUY,15,2870.1,2025-07-23 08:07:07.870314
SPY,BUY,19,11948.34,2025-07-23 08:11:04.963323
QQQ,BUY,16,8980.0,2025-07-23 08:11:04.963323
VTI,BUY,19,5886.2,2025-07-23 08:11:04.963323
AAPL,BUY,14,3001.6,2025-07-23 08:11:04.963323
XLU,BUY,115,9780.75,2025-07-23 08:17:32.986016
TQQQ,BUY,113,9797.1,2025-07-23 08:17:32.986016
TECL,BUY,66,6520.14,2025-07-23 08:17:32.986016
GLD,BUY,13,4109.3,2025-07-23 08:17:32.986016
XLU,BUY,115,9780.75,2025-07-23 08:17:43.301162
TQQQ,BUY,113,9797.1,2025-07-23 08:17:43.301162
TECL,BUY,66,6520.14,2025-07-23 08:17:43.301162
GLD,BUY,13,4109.3,2025-07-23 08:17:43.301162
XLU,BUY,115,9780.75,2025-07-23 08:22:19.990467
TQQQ,BUY,113,9797.1,2025-07-23 08:22:19.990467
TECL,BUY,66,6520.14,2025-07-23 08:22:19.990467
GLD,BUY,13,4109.3,2025-07-23 08:22:19.990467
XLU,BUY,115,9780.75,2025-07-23 08:25:56.548270
TQQQ,BUY,113,9797.1,2025-07-23 08:25:56.548270
TECL,BUY,66,6520.14,2025-07-23 08:25:56.548270
GLD,BUY,13,4109.3,2025-07-23 08:25:56.548270
XLU,BUY,115,9780.75,2025-07-23 08:26:09.287221
TQQQ,BUY,113,9797.1,2025-07-23 08:26:09.287221
TECL,BUY,66,6520.14,2025-07-23 08:26:09.287221
GLD,BUY,13,4109.3,2025-07-23 08:26:09.287221
XLU,BUY,115,9780.75,2025-07-23 08:26:53.508478
TQQQ,BUY,113,9797.1,2025-07-23 08:26:53.508478
TECL,BUY,66,6520.14,2025-07-23 08:26:53.508478
GLD,BUY,13,4109.3,2025-07-23 08:26:53.508478
XLU,BUY,115,9780.75,2025-07-23 08:27:06.511991
TQQQ,BUY,113,9797.1,2025-07-23 08:27:06.511991
TECL,BUY,66,6520.14,2025-07-23 08:27:06.511991
GLD,BUY,13,4109.3,2025-07-23 08:27:06.511991
XLU,BUY,115,9780.75,2025-07-23 08:29:48.937694
TQQQ,BUY,113,9797.1,2025-07-23 08:29:48.937694
TECL,BUY,66,6520.14,2025-07-23 08:29:48.937694
GLD,BUY,13,4109.3,2025-07-23 08:29:48.937694
XLU,BUY,115,9780.75,2025-07-23 08:30:02.402685
TQQQ,BUY,113,9797.1,2025-07-23 08:30:02.402685
TECL,BUY,66,6520.14,2025-07-23 08:30:02.402685
GLD,BUY,13,4109.3,2025-07-23 08:30:02.402685
XLU,BUY,115,9780.75,2025-07-23 08:34:19.680123
TQQQ,BUY,113,9797.1,2025-07-23 08:34:19.680123
TECL,BUY,66,6520.14,2025-07-23 08:34:19.680123
GLD,BUY,13,4109.3,2025-07-23 08:34:19.680123
XLU,BUY,115,9780.75,2025-07-23 08:34:33.418616
TQQQ,BUY,113,9797.1,2025-07-23 08:34:33.418616
TECL,BUY,66,6520.14,2025-07-23 08:34:33.418616
GLD,BUY,13,4109.3,2025-07-23 08:34:33.418616
